Work ID,File Name,Work Agent,Work Title,Work Type,Work Material,Work Description,Work Measurements,Work Date,Work Location,GPSLatitude,GPSLongitude,Image Relation,Image Title,Image Work Type,Work Location Creation,Work Cultural Context,Work Style Period,Work Location Site,Collection,Image Rights,Image Source,Image URL,Title,Creator,Subject,Description,Publisher,Contributor,Coverage,Date,Type,Format,Copyright Notice,Source,Language,Relation,Identifier
1672,AR-MA-Bruzzone-Ciliberti-Florencia-Hana-Otras-Formas-2-1672-00.jpg,"Florencia Hana, Ciliberti",Otras Formas 2,,Grabación digital,14 Canciones,Box 13 cm x 13 cm; DVD 12 cm (diameter),2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1672",-34599,-58380,"[imageOf 1672, RAC Database]",Otras Formas 2,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Ciliberti-Florencia-Hana-Otras-Formas-2-1672-00.jpg,,,,,,,,,,,,,,,
1886,AR-MA-Bruzzone-Cima-Carlos-ST-Cisne-I-1886-00.jpg,"Cima, Carlos",Sin título. Cisne I,,Oleo sobre tela,Un cisne,15 cm x 10 cm,2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1886",-34599,-58380,"[imageOf 1886, RAC Database]",Sin título. Cisne I,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cima-Carlos-ST-Cisne-I-1886-00.jpg,,,,,,,,,,,,,,,
1887,AR-MA-Bruzzone-Cima-Carlos-ST-Cisne-II-1887-00.jpg,"Cima, Carlos",Sin título. Cisne II,,Oleo sobre tela,Un cisne,13 cm x 18 cm,2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1887",-34599,-58380,"[imageOf 1887, RAC Database]",Sin título. Cisne II,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cima-Carlos-ST-Cisne-II-1887-00.jpg,,,,,,,,,,,,,,,
1888,AR-MA-Bruzzone-Cima-Carlos-ST-Cisne-III-1888-00.jpg,"Cima, Carlos",Sin título. Cisne III,,Oleo sobre tela,Un cisne,53 cm x 45 cm,2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1888",-34599,-58380,"[imageOf 1888, RAC Database]",Sin título. Cisne III,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cima-Carlos-ST-Cisne-III-1888-00.jpg,,,,,,,,,,,,,,,
1851,AR-MA-Bruzzone-Cippolini-Nina-Dibujo-1851-00.jpg,"Cippolini, Nina",Dibujo,,"Mixta sobre papel. Tinta, fibra",Cuatro recuadros con dibujos de una niña con flores y una ballena,19 cm x 15 cm,2013 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1851",-34599,-58380,"[imageOf 1851, RAC Database]",Dibujo,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cippolini-Nina-Dibujo-1851-00.jpg,,,,,,,,,,,,,,,
1848,AR-MA-Bruzzone-Cippolini-Rafael-Larenboy-1848-00.jpg,"Cippolini, Rafael",Larenboy,,Dibujo sobre papel. Fibra,Retrato de Benito Laren,12.5 cm x 7.5 cm,ca. 1995- ca. 2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1848",-34599,-58380,"[imageOf 1848, RAC Database]",Larenboy,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cippolini-Rafael-Larenboy-1848-00.jpg,,,,,,,,,,,,,,,
1934,AR-MA-Bruzzone-Closa-Cecilia-Publicaciones-Que-Me-Gustaron-1934-00.jpg,"Closa, Cecilia",Publicaciones Que Me Gustaron,,Libro. Impreso sobre papel. Tinta de impresión,Libro conteniendo fotografías de diferentes publicaciones,18.5 cm x 13.5 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1934",-34599,-58380,"[imageOf 1934, RAC Database]",Publicaciones Que Me Gustaron,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Closa-Cecilia-Publicaciones-Que-Me-Gustaron-1934-00.jpg,,,,,,,,,,,,,,,
1302,AR-MA-Bruzzone-Codega-Laura-Juanito-1302-00.jpg,"Códega, Laura ",Juanito,,Técnica mixta,"Un personaje con gorra, sentado y apoyado en una botella, con un sombrero a su derecha dado vuelta y lleno de chapitas",54 cm x 40 cm,2016 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1302",-34599,-58380,"[imageOf 1302, RAC Database]",Juanito,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Codega-Laura-Juanito-1302-00.jpg,,,,,,,,,,,,,,,
1303,AR-MA-Bruzzone-Codega-Laura-La-fabula-de-los-5-cent-1303-00.jpg,"Códega, Laura ",La fábula de los 5 cent,,Pintura sobre tela. Estandarte,"Una tela pintada con la leyenda “La fábula de los 5 cent”; en sus extremos dos listones de madera anudados, el superior con una cuerda",130 cm,2016 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1303",-34599,-58380,"[imageOf 1303, RAC Database]",La fábula de los 5 cent,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Codega-Laura-La-fabula-de-los-5-cent-1303-00.jpg,,,,,,,,,,,,,,,
1304,AR-MA-Bruzzone-Codega-Laura-Pirata-Poesia-1304-00.jpg,"Códega, Laura ",Pirata (Poesía),,Impreso sobre papel,Una poesía de título “Pirata”,28 cm x 21.5 cm,2016 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1304",-34599,-58380,"[imageOf 1304, RAC Database]",Pirata (Poesía),digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Codega-Laura-Pirata-Poesia-1304-00.jpg,,,,,,,,,,,,,,,
122,AR-MA-Bruzzone-Cohen-Cynthia-Belleza-y-Libertad-0122-00.jpg,"Cohen, Cynthia",Belleza y Libertad,,Acuarela sobre papel,Mariposa volando con cielo de fondo,18 cm x 26 cm,2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 122",-34599,-58380,"[imageOf 122, RAC Database]",Belleza y Libertad,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cohen-Cynthia-Belleza-y-Libertad-0122-00.jpg,,,,,,,,,,,,,,,
474,AR-MA-Bruzzone-Cohen-Cynthia-Mujer-Maravilla-y-Bomba-de-Dulce-de-Leche-0474-00.jpg,"Cohen, Cynthia",Mujer Maravilla y Bomba de Dulce de Leche,,Oleo sobre tela,"Caricatura de la Mujer Maravilla, atada a una bomba de dulce de leche",70 cm x 70 cm,2011 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 474",-34599,-58380,"[imageOf 474, RAC Database]",Mujer Maravilla y Bomba de Dulce de Leche,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cohen-Cynthia-Mujer-Maravilla-y-Bomba-de-Dulce-de-Leche-0474-00.jpg,,,,,,,,,,,,,,,
